ID	NA-
ALG6	3.5541
ALG8	58.4754
ALG9	1.0741
ALK	6.5766
ALKAL1	0.9152
ALKAL2	0
ALKBH1	0.139
ALKBH2	0
ALKBH3	10.9269
ALKBH4	1.0331
ALKBH5	42.0319
ALKBH6	0
ALKBH7	16.7678
ALKBH8	0.6536
ALLC	15.5777
ALMS1	113.3792
ALOX12	54.926
ALOX12B	95.8152
ALOX15	5.1644
ALOX15B	0
ALOX5	16.0087
ALOX5AP	10.8347
ALOXE3	0
ALPG	87.1518
ALPI	0.0286
ALPK1	0.3211
ALPK2	34.3043
ALPK3	0.8937
ALPL	0.539
ALPP	37.074
ALS2	3.8741
ALS2CL	24.2603
ALX1	0.5519
ALX3	3.5635
ALX4	44.598
ALYREF	0
AMACR	0
AMBN	0
AMBP	11.774
AMBRA1	40.4565
AMD1	5.9758
AMDHD1	39.322
AMDHD2	0.6336
AMELX	42.8054
AMELY	118.3136
AMER1	0.0638
AMER2	0.2238
AMER3	13.713
AMFR	19.8786
AMH	1.4543
AMHR2	15.2748
AMIGO1	0.2584
AMIGO2	27.1643
AMIGO3	0
AMMECR1	10.364
AMMECR1L	9.1906
AMN	0.8282
AMN1	4.5767
AMOT	32.1344
AMOTL1	25.6004
AMOTL2	11.8011
AMPD1	21.3386
AMPD2	26.6607
AMPD3	32.8841
AMPH	2.3536
AMT	1.355
AMTN	10.1547
AMY1A	2.1821
AMY1B	8.8806
AMY1C	1.7891
AMY2A	0
AMY2B	0.8033
AMZ1	7.6735
AMZ2	7.9976
ANAPC1	28.2386
ANAPC10	2.0739
ANAPC11	23.9492
ANAPC13	180.4404
ANAPC15	1.196
ANAPC16	11.3502
ANAPC2	0
ANAPC4	0.3219
ANAPC5	14.3057
ANAPC7	3.7901
ANG	0
ANGEL1	20.1161
ANGEL2	41.2467
ANGPT1	0.1764
ANGPT2	0.0251
ANGPT4	51.5959
ANGPTL1	26.258
ANGPTL2	3.8927
ANGPTL3	31.6393
ANGPTL4	0.1145
ANGPTL5	0.0478
ANGPTL6	29.4048
ANGPTL7	44.6758
ANGPTL8	76.5725
ANHX	1.1345
ANK1	15.8659
ANK2	5.4303
ANK3	3.7023
ANKAR	133.729
ANKDD1A	31.6313
ANKDD1B	0
ANKEF1	16.3763
ANKFN1	12.5714
ANKFY1	0.0761
ANKH	0.6769
ANKHD1	2.2871
ANKHD1-EIF4EBP3	1.4254
ANKIB1	21.3206
ANKK1	0
ANKLE1	30.0839
ANKLE2	0
ANKMY1	41.1329
ANKMY2	8.6052
ANKRA2	0
ANKRD1	1.7714
ANKRD10	41.5436
ANKRD11	0.0361
ANKRD12	31.2038
ANKRD13A	2.8785
ANKRD13B	16286.6403
ANKRD13C	256.5425
ANKRD13D	0
ANKRD16	15.6765
ANKRD17	0
ANKRD18A	0
ANKRD18B	0.2926
ANKRD2	3.5068
ANKRD20A1	0
ANKRD20A2P	0.4448
ANKRD20A3P	0
ANKRD20A4P	27.9769
ANKRD22	1.2251
ANKRD23	0
ANKRD24	52.8788
ANKRD26	3.0746
ANKRD27	30.0102
ANKRD28	0.0241
ANKRD29	0.3311
ANKRD30A	0.3485
ANKRD30B	0
ANKRD30BL	18.1747
ANKRD31	0.3216
ANKRD33	26.1097
ANKRD33B	14.8545
ANKRD34A	0
ANKRD34B	0
ANKRD34C	0
ANKRD35	5.1518
ANKRD36	7.9114
ANKRD36B	2.1984
ANKRD36C	12.2707
ANKRD37	0.0143
ANKRD39	0.3169
ANKRD40	9.065
ANKRD40CL	41.8497
ANKRD42	32.25
ANKRD44	9.8515
ANKRD45	12.9978
ANKRD46	0.1423
ANKRD49	0.8209
ANKRD50	34.0686
ANKRD52	25.5357
ANKRD53	133.5506
ANKRD54	14.4583
ANKRD55	0.0443
ANKRD6	39.4916
ANKRD60	81.0068
ANKRD61	0
ANKRD62	0
ANKRD63	0.58
ANKRD65	0
ANKRD66	0
ANKRD7	9.9751
ANKRD9	27.8716
ANKS1A	8.0146
ANKS1B	0
ANKS3	0.7964
ANKS4B	1.1019
ANKS6	7.6806
ANKUB1	0
ANKZF1	21.0706
ANLN	3.4691
ANO1	0
ANO10	14.7061
ANO2	13.9726
ANO3	18.2861
ANO4	18.4696
ANO5	0.2461
ANO6	175.8732
ANO7	0.7448
ANO8	0.036
ANO9	37.9255
ANOS1	6.6022
ANP32A	17.9384
ANP32B	20.7201
ANP32D	12.428
ANP32E	40.0079
ANPEP	0.075
ANTKMT	11.6718
ANTXR1	21.6911
